,name,html_page_link,tags
0,What's New,set_N20140200.html,"[""What's New""]"
1,Sneak Peeks,chapter_N3859207.html,"[""What's New"", 'Sneak Peeks']"
2,Release Notes,book_N3865324.html,"[""What's New"", 'Release Notes']"
3,NetSuite 2022.2 Release Notes,chapter_N3944673.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes']"
4,Accounting,section_4316104403.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Accounting']"
5,Account Setup and Maintenance,section_158921855128.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Account Setup and Maintenance']"
6,Authentication,section_158921905537.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Authentication']"
7,Banking,section_4316105394.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Banking']"
8,Commerce,section_162620661407.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Commerce']"
9,Commerce Website Management and Performance,section_160418265800.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Commerce', 'Commerce Website Management and Performance']"
10,SC/SCMA/SCA â SuiteCommerce Solutions,section_N3945981.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Commerce', 'SC/SCMA/SCA â\x80\x94 SuiteCommerce Solutions']"
11,SuiteCommerce InStore,section_161833073156.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Commerce', 'SuiteCommerce InStore']"
12,Employee Management,section_4316104783.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Employee Management']"
13,Globalization,section_158921892460.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Globalization']"
14,Inventory Management,section_1508852924.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Inventory Management']"
15,Item Record Management,section_4322136086.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Item Record Management']"
16,Manufacturing,section_1529087731.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Manufacturing']"
17,Mobile,section_156413618375.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Mobile']"
18,Order Management,section_4316104540.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Order Management']"
19,Projects,section_3715561461.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'Projects']"
20,SuiteAnalytics,section_N3949039.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteAnalytics']"
21,SuiteApps (Bundles) Released by NetSuite,section_N3945762.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite']"
22,Accounting SuiteApps,section_1507562099.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite', 'Accounting SuiteApps']"
23,Administration SuiteApps,section_1508778599.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite', 'Administration SuiteApps']"
24,Banking SuiteApps,section_157913557426.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite', 'Banking SuiteApps']"
25,Inventory Management SuiteApps,section_1508778865.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite', 'Inventory Management SuiteApps']"
26,Item Record Management SuiteApps,section_1508778807.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite', 'Item Record Management SuiteApps']"
27,Localization SuiteApps,section_1521115850.html,"[""What's New"", 'Release Notes', 'NetSuite 2022.2 Release Notes', 'SuiteApps (Bundles) Released by NetSuite', 'Localization SuiteApps']"
